"date","product_id","region_id","product_category","demand","day_of_week","day_of_month","week_of_year","month","quarter","is_weekend","is_federal_holiday","is_ramadan","ramadan_day","is_pre_raya_window","is_pre_cny_window","is_mega_sale","mega_sale_base_magnitude","is_school_holiday","is_government_payday_window","is_private_payday_window","social_media_index","competitor_activity_index","marketing_spend_myr"
"2023-01-01","P001","BRN","Fashion","556","6","1","52","1","1","1","1","0","0","0","1","1","4.5","0","0","1","0.3449","0.4968","2273.6"
"2023-01-02","P001","BRN","Fashion","144","0","2","1","1","1","0","0","0","0","0","1","0","0.0","0","0","1","0.186","0.234","792.8"
"2023-01-03","P001","BRN","Fashion","159","1","3","1","1","1","0","0","0","0","0","1","0","0.0","0","0","1","0.5942","0.2733","649.47"
"2023-01-04","P001","BRN","Fashion","155","2","4","1","1","1","0","0","0","0","0","1","0","0.0","0","0","0","0.3175","0.1412","1149.42"
"2023-01-05","P001","BRN","Fashion","163","3","5","1","1","1","0","0","0","0","0","1","0","0.0","0","0","0","0.272","0.1131","965.9"
"2023-01-06","P001","BRN","Fashion","153","4","6","1","1","1","0","0","0","0","0","1","0","0.0","0","0","0","0.0728","0.3759","885.54"
"2023-01-07","P001","BRN","Fashion","150","5","7","1","1","1","1","0","0","0","0","1","0","0.0","0","0","0","0.1232","0.3476","878.13"
"2023-01-08","P001","BRN","Fashion","144","6","8","1","1","1","1","0","0","0","0","1","0","0.0","0","0","0","0.4903","0.1813","617.01"
"2023-01-09","P001","BRN","Fashion","148","0","9","2","1","1","0","0","0","0","0","1","0","0.0","0","0","0","0.4468","0.0244","928.18"
"2023-01-10","P001","BRN","Fashion","163","1","10","2","1","1","0","0","0","0","0","1","0","0.0","0","0","0","0.5292","0.1026","828.37"
"2023-01-11","P001","BRN","Fashion","148","2","11","2","1","1","0","0","0","0","0","1","0","0.0","0","0","0","0.3176","0.4207","907.08"
"2023-01-12","P001","BRN","Fashion","191","3","12","2","1","1","0","0","0","0","0","1","0","0.0","0","0","0","0.1217","0.2402","904.09"
"2023-01-13","P001","BRN","Fashion","184","4","13","2","1","1","0","0","0","0","0","1","0","0.0","0","0","0","0.3962","0.1219","540.0"
"2023-01-14","P001","BRN","Fashion","160","5","14","2","1","1","1","0","0","0","0","1","0","0.0","0","0","0","0.1436","0.4188","966.15"
"2023-01-15","P001","BRN","Fashion","176","6","15","2","1","1","1","0","0","0","0","1","0","0.0","0","0","0","0.6942","0.324","925.51"
"2023-01-16","P001","BRN","Fashion","181","0","16","3","1","1","0","0","0","0","0","1","0","0.0","0","0","0","0.3321","0.2295","943.64"
"2023-01-17","P001","BRN","Fashion","229","1","17","3","1","1","0","0","0","0","0","1","0","0.0","0","0","0","0.0903","0.0425","875.24"
"2023-01-18","P001","BRN","Fashion","216","2","18","3","1","1","0","0","0","0","0","1","0","0.0","0","0","0","0.2068","0.2237","906.6"
"2023-01-19","P001","BRN","Fashion","251","3","19","3","1","1","0","0","0","0","0","1","0","0.0","0","0","0","0.2961","0.1317","923.33"
"2023-01-20","P001","BRN","Fashion","269","4","20","3","1","1","0","0","0","0","0","1","0","0.0","0","0","0","0.1638","0.3969","937.03"
"2023-01-21","P001","BRN","Fashion","226","5","21","3","1","1","1","0","0","0","0","1","0","0.0","0","0","0","0.3497","0.2616","964.2"
"2023-01-22","P001","BRN","Fashion","229","6","22","3","1","1","1","1","0","0","0","0","0","0.0","0","0","0","0.3345","0.3719","521.21"
