"date","product_id","region_id","day_of_week","month","is_weekend","is_mega_sale","is_ramadan","is_pre_raya_window","is_pre_cny_window","viral_shock_active","any_shock_active","elasticity_coefficient","demand_forecast","inventory_level","competitor_price","base_price","realized_demand","stockout_flag"
"2023-01-01","P001","BRN","6","1","1","1","0","0","1","0","1","-2.592","589","7913","63.38","89.0","1087","0"
"2023-01-02","P001","BRN","0","1","0","0","0","0","1","0","1","-1.92","162","7779","66.1","89.0","134","0"
"2023-01-03","P001","BRN","1","1","0","0","0","0","1","0","1","-1.92","157","7635","62.98","89.0","144","0"
"2023-01-04","P001","BRN","2","1","0","0","0","0","1","0","1","-1.92","161","7461","71.2","89.0","174","0"
"2023-01-05","P001","BRN","3","1","0","0","0","0","1","0","1","-1.92","151","7294","71.2","89.0","167","0"
"2023-01-06","P001","BRN","4","1","0","0","0","0","1","0","1","-1.92","164","7117","68.67","89.0","177","0"
"2023-01-07","P001","BRN","5","1","1","0","0","0","1","0","1","-1.92","127","6938","75.03","89.0","179","0"
"2023-01-08","P001","BRN","6","1","1","0","0","0","1","0","1","-1.92","166","6766","73.16","89.0","172","0"
"2023-01-09","P001","BRN","0","1","0","0","0","0","1","0","1","-1.92","190","6612","71.2","89.0","154","0"
"2023-01-10","P001","BRN","1","1","0","0","0","0","1","0","1","-1.92","185","6467","71.26","89.0","145","0"
"2023-01-11","P001","BRN","2","1","0","0","0","0","1","0","1","-1.92","111","6309","64.31","89.0","158","0"
"2023-01-12","P001","BRN","3","1","0","0","0","0","1","0","1","-1.92","179","6131","71.2","89.0","178","0"
"2023-01-13","P001","BRN","4","1","0","0","0","0","1","0","1","-1.92","206","5951","71.2","89.0","180","0"
"2023-01-14","P001","BRN","5","1","1","0","0","0","1","0","1","-1.92","139","5785","68.31","89.0","166","0"
"2023-01-15","P001","BRN","6","1","1","0","0","0","1","0","1","-1.92","148","5584","71.2","89.0","201","0"
"2023-01-16","P001","BRN","0","1","0","0","0","0","1","0","1","-1.92","184","5379","71.2","89.0","205","0"
"2023-01-17","P001","BRN","1","1","0","0","0","0","1","0","1","-1.92","216","5162","72.56","89.0","217","0"
"2023-01-18","P001","BRN","2","1","0","0","0","0","1","0","1","-1.92","202","4931","71.2","89.0","231","0"
"2023-01-19","P001","BRN","3","1","0","0","0","0","1","0","1","-1.92","209","4697","71.2","89.0","234","0"
"2023-01-20","P001","BRN","4","1","0","0","0","0","1","0","1","-1.92","324","4439","70.32","89.0","258","0"
"2023-01-21","P001","BRN","5","1","1","0","0","0","1","0","1","-1.92","199","4227","71.2","89.0","212","0"
