model_type,cl_method,train_task_id,eval_task_id,eval_phase,metric_name,metric_value,timestamp
forecasting,naive,1,1,seen,mase,0.6321552175611848,2026-06-04T21:36:32
forecasting,naive,1,1,seen,smape,55.40038347244263,2026-06-04T21:36:32
forecasting,naive,1,1,seen,rmse,319.9671936035156,2026-06-04T21:36:32
forecasting,naive,1,2,future,mase,10.761970791478701,2026-06-04T21:36:44
forecasting,naive,1,2,future,smape,104.67441082000732,2026-06-04T21:36:44
forecasting,naive,1,2,future,rmse,628.3880004882812,2026-06-04T21:36:44
forecasting,naive,1,3,future,mase,0.9906400039612905,2026-06-04T21:36:53
forecasting,naive,1,3,future,smape,69.60992217063904,2026-06-04T21:36:53
forecasting,naive,1,3,future,rmse,563.5545043945312,2026-06-04T21:36:53
forecasting,naive,1,4,future,mase,12.191699330740029,2026-06-04T21:37:05
forecasting,naive,1,4,future,smape,106.76429271697998,2026-06-04T21:37:05
forecasting,naive,1,4,future,rmse,701.0785522460938,2026-06-04T21:37:05
forecasting,naive,1,5,future,mase,1.5129408365011872,2026-06-04T21:37:13
forecasting,naive,1,5,future,smape,83.24708342552185,2026-06-04T21:37:13
forecasting,naive,1,5,future,rmse,850.28662109375,2026-06-04T21:37:13
forecasting,naive,1,6,future,mase,11.742833307131837,2026-06-04T21:37:24
forecasting,naive,1,6,future,smape,112.112557888031,2026-06-04T21:37:24
forecasting,naive,1,6,future,rmse,834.3472900390625,2026-06-04T21:37:24
forecasting,naive,2,1,seen,mase,1.405199380944782,2026-06-04T21:39:42
forecasting,naive,2,1,seen,smape,74.98912811279297,2026-06-04T21:39:42
forecasting,naive,2,1,seen,rmse,1037.0042724609375,2026-06-04T21:39:42
forecasting,naive,2,2,seen,mase,19.950274843056327,2026-06-04T21:39:53
forecasting,naive,2,2,seen,smape,126.01475715637207,2026-06-04T21:39:53
forecasting,naive,2,2,seen,rmse,1530.2222900390625,2026-06-04T21:39:53
forecasting,naive,2,3,future,mase,1.6833531060529834,2026-06-04T21:40:02
forecasting,naive,2,3,future,smape,93.52929592132568,2026-06-04T21:40:02
forecasting,naive,2,3,future,rmse,1078.852294921875,2026-06-04T21:40:02
forecasting,naive,2,4,future,mase,24.808353070572053,2026-06-04T21:40:13
forecasting,naive,2,4,future,smape,132.94838666915894,2026-06-04T21:40:13
forecasting,naive,2,4,future,rmse,1808.4183349609375,2026-06-04T21:40:13
forecasting,naive,2,5,future,mase,2.7090273369384033,2026-06-04T21:40:21
forecasting,naive,2,5,future,smape,110.95978021621704,2026-06-04T21:40:21
forecasting,naive,2,5,future,rmse,1610.36474609375,2026-06-04T21:40:21
forecasting,naive,2,6,future,mase,26.78594908323157,2026-06-04T21:40:31
forecasting,naive,2,6,future,smape,137.2820019721985,2026-06-04T21:40:31
forecasting,naive,2,6,future,rmse,2473.2509765625,2026-06-04T21:40:31
forecasting,naive,3,1,seen,mase,0.5113637142716391,2026-06-04T21:43:22
forecasting,naive,3,1,seen,smape,43.879687786102295,2026-06-04T21:43:22
forecasting,naive,3,1,seen,rmse,384.0309753417969,2026-06-04T21:43:22
forecasting,naive,3,2,seen,mase,4.6774824829971,2026-06-04T21:43:33
forecasting,naive,3,2,seen,smape,73.58925342559814,2026-06-04T21:43:33
forecasting,naive,3,2,seen,rmse,343.0567932128906,2026-06-04T21:43:33
forecasting,naive,3,3,seen,mase,0.6293291448634718,2026-06-04T21:43:41
forecasting,naive,3,3,seen,smape,50.3822386264801,2026-06-04T21:43:41
forecasting,naive,3,3,seen,rmse,440.6766662597656,2026-06-04T21:43:41
forecasting,naive,3,4,future,mase,5.104624622231164,2026-06-04T21:43:53
forecasting,naive,3,4,future,smape,72.99367189407349,2026-06-04T21:43:53
forecasting,naive,3,4,future,rmse,343.1484375,2026-06-04T21:43:53
forecasting,naive,3,5,future,mase,0.8690564769995502,2026-06-04T21:44:01
forecasting,naive,3,5,future,smape,60.155606269836426,2026-06-04T21:44:01
forecasting,naive,3,5,future,rmse,611.9031982421875,2026-06-04T21:44:01
forecasting,naive,3,6,future,mase,5.092325905604196,2026-06-04T21:44:12
forecasting,naive,3,6,future,smape,79.9347996711731,2026-06-04T21:44:12
forecasting,naive,3,6,future,rmse,436.2663879394531,2026-06-04T21:44:12
forecasting,naive,4,1,seen,mase,1.2054714912498443,2026-06-04T21:48:12
forecasting,naive,4,1,seen,smape,72.00531363487244,2026-06-04T21:48:12
forecasting,naive,4,1,seen,rmse,954.045166015625,2026-06-04T21:48:12
forecasting,naive,4,2,seen,mase,18.93547866577965,2026-06-04T21:48:23
forecasting,naive,4,2,seen,smape,116.19924306869507,2026-06-04T21:48:23
forecasting,naive,4,2,seen,rmse,1777.9984130859375,2026-06-04T21:48:23
forecasting,naive,4,3,seen,mase,2.0188516897105124,2026-06-04T21:48:33
forecasting,naive,4,3,seen,smape,92.5957977771759,2026-06-04T21:48:33
forecasting,naive,4,3,seen,rmse,1433.8133544921875,2026-06-04T21:48:33
forecasting,naive,4,4,seen,mase,41.784587496147275,2026-06-04T21:48:44
forecasting,naive,4,4,seen,smape,140.666663646698,2026-06-04T21:48:44
forecasting,naive,4,4,seen,rmse,3371.8681640625,2026-06-04T21:48:44
forecasting,naive,4,5,future,mase,5.754074350214277,2026-06-04T21:48:53
forecasting,naive,4,5,future,smape,132.23943710327148,2026-06-04T21:48:53
forecasting,naive,4,5,future,rmse,3298.785888671875,2026-06-04T21:48:53
forecasting,naive,4,6,future,mase,65.36501026146884,2026-06-04T21:49:05
forecasting,naive,4,6,future,smape,162.15544939041138,2026-06-04T21:49:05
forecasting,naive,4,6,future,rmse,5658.7880859375,2026-06-04T21:49:05
forecasting,naive,5,1,seen,mase,0.5517155323919881,2026-06-04T21:50:58
forecasting,naive,5,1,seen,smape,37.61671483516693,2026-06-04T21:50:58
forecasting,naive,5,1,seen,rmse,396.3868713378906,2026-06-04T21:50:58
forecasting,naive,5,2,seen,mase,4.692524059512004,2026-06-04T21:51:08
forecasting,naive,5,2,seen,smape,70.40025591850281,2026-06-04T21:51:08
forecasting,naive,5,2,seen,rmse,324.310302734375,2026-06-04T21:51:08
forecasting,naive,5,3,seen,mase,0.9396333476594269,2026-06-04T21:51:16
